Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
DCA,PBI,2/1/2018,NONSTOP,POINTS,113.2,21.11,7400,5.6,1,0
PBI,LGA,2/1/2018,NONSTOP,LOWEST,88.2,19.36,0,0,1,0
PBI,LGA,2/1/2018,NONSTOP,POINTS,88.2,19.36,5500,5.6,1,0
BOS,SAV,2/1/2018,NONSTOP,LOWEST,132.2,22.43,0,0,1,0
BOS,SAV,2/1/2018,NONSTOP,POINTS,132.2,22.43,8800,5.6,1,0
JFK,PWM,2/1/2018,NONSTOP,LOWEST,48.2,16.57,0,0,1,0
JFK,PWM,2/1/2018,NONSTOP,POINTS,48.2,16.57,2600,5.6,1,0
RDU,JFK,2/1/2018,NONSTOP,LOWEST,88.2,19.36,0,0,1,0
RDU,JFK,2/1/2018,NONSTOP,POINTS,88.2,19.36,5500,5.6,1,0
FLL,DCA,2/1/2018,NONSTOP,LOWEST,70.2,18.11,0,0,1,0
FLL,DCA,2/1/2018,NONSTOP,POINTS,70.2,18.11,4200,5.6,1,0
FLL,SJU,2/1/2018,NONSTOP,LOWEST,87.1,28.1,0,0,1,0
FLL,SJU,2/1/2018,NONSTOP,POINTS,87.1,28.1,4400,5.6,1,0
RSW,EWR,2/1/2018,NONSTOP,LOWEST,107.2,20.69,0,0,1,0
RSW,EWR,2/1/2018,NONSTOP,POINTS,107.2,20.69,6900,5.6,1,0
CHS,JFK,2/1/2018,NONSTOP,LOWEST,58.2,17.27,0,0,1,0
CHS,JFK,2/1/2018,NONSTOP,POINTS,58.2,17.27,3300,5.6,1,0
BOS,BDA,2/1/2018,NONSTOP,LOWEST,98.1,28.1,0,0,0,0
BOS,BDA,2/1/2018,NONSTOP,POINTS,98.1,28.1,5200,5.6,0,0
FLL,CMW,2/1/2018,NONSTOP,LOWEST,98.1,53.1,0,0,0,0
FLL,CMW,2/1/2018,NONSTOP,POINTS,98.1,53.1,3400,30.6,0,0
BNA,BOS,2/1/2018,NONSTOP,LOWEST,58.2,17.27,0,0,1,0
BNA,BOS,2/1/2018,NONSTOP,POINTS,58.2,17.27,3300,5.6,1,0
MCO,AUS,2/1/2018,NONSTOP,LOWEST,82.2,18.94,0,0,1,0
MCO,AUS,2/1/2018,NONSTOP,POINTS,82.2,18.94,5100,5.6,1,0
